81,3362,1425979864.85569
4521,2006,1426009340.85147
4521,2484,1426100543.27376
1990,5200,1426113278.60879
2010,4521,1426190498.0831
173,2569,1426212335.04284
967,5757,1426263651.85295
5757,183,1426264565.88033
5465,3682,1426284360.76167
4183,4169,1426471889.86267
23,5798,1426601478.45996
3226,5141,1426629314.92407
4521,3226,1426636895.99756
1589,1785,1426650113.58631
5141,5351,1426714983.47136
1594,3617,1426868199.67432
4183,1785,1426875984.37333
145,1684,1426920485.23071
5358,1990,1427045301.64442
3347,3775,1427051338.86093
3724,5484,1427128243.82267
3,5799,1427161808.70857
1785,2569,1427230300.03335
23,5800,1427277704.60795
23,5801,1427277722.53202
3775,5423,1427318165.73379
5796,2006,1427384632.53027
3724,967,1427386730.91849
4169,5796,1427388134.88225
3775,5200,1427400889.55812
1785,5802,1427410571.31342
5697,3607,1427510635.9834
5697,5424,1427510646.21662
4086,5410,1427555386.62593
4086,16,1427555438.42327
1,5803,1427727594.65585
5803,5517,1427813971.0613
2569,5804,1427856424.38647
5715,5770,1427903527.76287
5715,5492,1427903615.26289
4169,1745,1427922822.23836
2247,3630,1427942146.2593
60,32,1427985792.92484
60,4201,1427995678.47517
4521,5465,1428083073.06569
4169,5423,1428267142.6905
4169,5351,1428283054.59089
477,945,1428303869.59658
5351,5644,1428362305.0313
5365,5805,1428416025.64182
3630,1846,1428456352.80032
60,4521,1428718616.96663
4521,5351,1428954775.52081
3775,5466,1428956647.2044
1594,3775,1428956679.93265
5796,1990,1428963717.14264
4086,3,1429065327.72528
3399,4183,1429224868.73929
23,5806,1429258662.55951
23,5807,1429258673.20681
23,5808,1429258686.9036
23,5809,1429258698.26842
4086,3074,1429266410.72737
5810,4086,1429270437.79774
4071,2484,1429285473.2173
4169,2010,1429297569.17665
4086,58,1429307652.85074
4240,3724,1429400048.44903
5796,4378,1429453742.85928
5796,5141,1429454347.77674
4169,3399,1429487206.20683
5791,3724,1429555942.59355
4089,172,1429566546.73466
297,1990,1429614700.87373
2199,23,1429622501.08911
23,4750,1429641790.04187
5351,23,1429756794.63644
4406,5811,1429897535.02401
1990,2006,1429914363.67348
1990,5812,1429916503.68995
4086,5695,1430016222.32159
4086,1678,1430016496.35496
2569,1308,1430030814.63649
23,5813,1430066098.98878
3724,4427,1430102056.54137
5359,5684,1430105927.6047
23,5796,1430204042.69446
4169,5707,1430232283.53719
4750,5813,1430260103.80213
2071,5351,1430413078.96841
145,2863,1430424058.10732
23,145,1430426078.63596
1002,1785,1430502667.28888
1002,4316,1430502830.50639
172,5141,1430568889.68817
5141,5814,1430655367.01912
5141,2073,1430769939.56927
4089,2676,1430799579.68343
1002,1899,1430863673.23538
1002,2894,1430863683.64545
1002,150,1430863695.89628
1002,5200,1430863703.20521
1002,1951,1430863710.56324
1002,4434,1430863721.18009
1002,4169,1430863730.53609
1002,5340,1430863743.47975
1002,5484,1430863749.79731
1002,38,1430863761.69103
1002,5365,1430863774.11127
1002,4089,1430863780.85554
1002,967,1430863797.05386
1002,3775,1430863808.1546
1002,5719,1430863830.86647
1002,2583,1430863842.97015
1002,5141,1430863850.72684
1002,172,1430863865.03001
1002,546,1430863874.63823
1002,145,1430863885.24429
1002,10,1430863887.23946
1002,93,1430863897.81968
1002,2494,1430863915.16686
1002,1468,1430863923.17724
1002,3815,1430863928.62915
1002,490,1430863939.81757
1002,5504,1430863945.9003
1002,424,1430863951.73934
1002,2238,1430863958.70148
1002,2569,1430863964.79691
1002,32,1430863968.97351
1002,178,1430864134.60721
1002,2082,1430864218.55799
1002,3032,1430864225.74299
1002,1990,1430864674.28406
1990,81,1430909991.37835
2863,5141,1430945424.87258
2569,5340,1430971846.50775
5141,5815,1431005835.78452
4086,5816,1431027460.55167
4086,5817,1431036740.74589
5359,5817,1431037068.61598
5791,2863,1431037288.53206
5816,5359,1431040536.67975
5816,5773,1431040613.82627
5816,5810,1431041031.94712
5816,5817,1431041103.56831
2583,2430,1431090706.71991
2071,4920,1431105416.201
2071,4919,1431107622.44094
4086,1949,1431303673.26733
2569,2430,1431383984.85418
81,5818,1431508978.09436
2006,5819,1431525213.76605
5141,5819,1431525261.71452
1785,5484,1431536531.26215
5484,3735,1431536600.70352
5638,3812,1431540388.74523
2569,5820,1431554530.19303
3347,1483,1431642324.20431
5697,5821,1431650970.22083
1990,5821,1431651115.18552
32,4183,1431711289.62077
2010,5799,1431717556.61907
3561,5501,1431739263.55517
32,5822,1431805884.58892
23,5822,1431806516.87928
3347,4521,1431813132.92224
4521,5719,1431813284.62624
4086,1308,1431836958.66003
5802,23,1431866597.65519
32,5141,1431885712.17014
4521,5423,1431891927.49435
1646,5821,1432069416.02842
4086,5823,1432091718.84541
5823,5824,1432178488.42219
5824,4086,1432178493.35106
5824,5825,1432179161.28538
4901,4835,1432246641.54359
5826,5823,1432250970.2638
5802,5141,1432293421.51671
5351,2010,1432417718.91527
2010,4086,1432486377.17611
4086,5827,1432525750.70396
4086,5141,1432530711.169
5827,5537,1432555610.5341
5827,5816,1432555919.93211
5827,6,1432697325.46808
5827,3,1432697495.793
5141,5828,1432699530.11601
4086,5829,1432733052.871
5827,5359,1432734510.99661
5827,5830,1432777340.11384
5827,5817,1432793495.88596
5825,5831,1432814441.88803
4086,5830,1432831622.72256
5817,5830,1432836397.33153
477,5047,1432845656.46492
4932,1785,1433259196.293
3682,5832,1433286608.77966
145,4169,1433290616.21743
5502,2010,1433295755.46686
2569,5351,1433381810.474
2972,5502,1433393155.66685
5502,5141,1433410325.77523
5502,2569,1433410450.7424
2199,4048,1433426111.20386
1589,4048,1433427391.6709
5141,1799,1433437453.12195
1272,2010,1433437826.94764
2010,4048,1433438479.55143
4932,1990,1433451468.42972
3724,36,1433457401.05143
1785,5502,1433602151.30647
4048,5502,1433602802.28608
2972,1990,1433689677.39369
