3515,3514,1413259200.0
3472,3513,1413259200.0
3511,3285,1413259200.0
3514,1262,1413259200.0
3578,3513,1413259200.0
3506,3513,1413259200.0
3514,2817,1413259200.0
1815,30,1413345600.0
3591,3494,1413345600.0
1630,3662,1413345600.0
3494,447,1413345600.0
3662,3542,1413432000.0
1262,3663,1413518400.0
1940,1841,1413518400.0
3515,3623,1413604800.0
3515,3651,1413604800.0
3664,447,1413691200.0
3578,3503,1413691200.0
3094,1262,1413777600.0
2646,3285,1413777600.0
3513,3665,1413777600.0
3094,59,1413777600.0
3094,1630,1413777600.0
3285,3666,1413777600.0
2729,2918,1413777600.0
2131,1302,1413777600.0
3094,447,1413777600.0
3508,3285,1413864000.0
3494,2817,1413864000.0
3494,3285,1413864000.0
3185,26,1413864000.0
3494,3421,1413864000.0
429,3285,1413864000.0
3588,2722,1413864000.0
3472,3285,1413864000.0
3664,2817,1413950400.0
2866,3667,1413950400.0
2646,2817,1414123200.0
3177,30,1414123200.0
3602,3563,1414209600.0
3602,3591,1414209600.0
3602,3568,1414209600.0
39,3007,1414209600.0
3602,2708,1414209600.0
3668,1262,1414296000.0
3668,3510,1414296000.0
865,0,1414296000.0
2924,1841,1414382400.0
2855,3580,1414382400.0
2924,59,1414382400.0
3067,2820,1414382400.0
3669,3197,1414468800.0
3669,3139,1414468800.0
42,1430,1414468800.0
3669,3067,1414468800.0
3669,1951,1414468800.0
3494,3472,1414468800.0
2722,3115,1414555200.0
3670,3094,1414555200.0
3513,3591,1414555200.0
3513,3494,1414555200.0
3669,3156,1414555200.0
2646,3591,1414555200.0
2646,3506,1414555200.0
3663,3421,1414641600.0
3663,3480,1414641600.0
3561,30,1414728000.0
3670,30,1414728000.0
2722,2884,1414728000.0
3156,1889,1414728000.0
2758,3185,1414814400.0
2924,1674,1414814400.0
2646,3671,1414814400.0
429,3197,1414900800.0
3472,3514,1414990800.0
2643,1940,1414990800.0
2817,3580,1414990800.0
447,3665,1414990800.0
2643,42,1414990800.0
2643,3197,1414990800.0
2643,3007,1414990800.0
3672,30,1414990800.0
42,1940,1414990800.0
3287,3580,1414990800.0
3673,3494,1415077200.0
1262,3591,1415077200.0
2821,3674,1415077200.0
3673,3591,1415077200.0
3536,3115,1415077200.0
3536,42,1415077200.0
1538,3007,1415163600.0
1538,3156,1415163600.0
1940,3115,1415163600.0
42,0,1415163600.0
3578,1846,1415250000.0
3675,3563,1415250000.0
3563,3513,1415250000.0
3676,3561,1415336400.0
1957,3115,1415336400.0
1846,2994,1415336400.0
3514,447,1415422800.0
3480,1630,1415422800.0
429,1940,1415422800.0
3115,2287,1415422800.0
2129,2855,1415509200.0
3576,2917,1415595600.0
3156,3177,1415682000.0
3664,377,1415682000.0
3677,3613,1415682000.0
3515,3677,1415682000.0
3506,1630,1415768400.0
3506,0,1415768400.0
3506,3480,1415768400.0
3506,1419,1415768400.0
2722,3678,1415768400.0
1262,3677,1415854800.0
2732,3197,1415854800.0
39,30,1415854800.0
1951,2924,1415854800.0
3494,3506,1416027600.0
3285,1940,1416027600.0
3162,2722,1416027600.0
1262,4,1416027600.0
2722,1242,1416114000.0
3679,3613,1416114000.0
3568,3675,1416200400.0
3515,3563,1416200400.0
2924,39,1416200400.0
3287,3197,1416200400.0
3513,2646,1416200400.0
2729,30,1416373200.0
429,1540,1416373200.0
3669,3007,1416459600.0
3680,3613,1416459600.0
1940,3084,1416459600.0
2729,3197,1416459600.0
2722,1540,1416546000.0
3513,3568,1416546000.0
3513,3656,1416546000.0
3058,1733,1416632400.0
3394,42,1416632400.0
